full_name, age, birthday, birthday_GMT, league, season, position, Current_Club, minutes_played_overall, minutes_played_home, minutes_played_away, nationality, appearances_overall, appearances_home, appearances_away, goals_overall, goals_home, goals_away, assists_overall, assists_home, assists_away, penalty_goals, penalty_misses, clean_sheets_overall, clean_sheets_home, clean_sheets_away, conceded_overall, conceded_home, conceded_away, yellow_cards_overall, red_cards_overall, goals_involved_per_90_overall, assists_per_90_overall, goals_per_90_overall, goals_per_90_home, goals_per_90_away, min_per_goal_overall, conceded_per_90_overall, min_per_conceded_overall, min_per_match, min_per_card_overall, min_per_assist_overall, cards_per_90_overall, rank_in_league_top_attackers, rank_in_league_top_midfielders, rank_in_league_top_defenders, rank_in_club_top_scorer
Youri Tielemans, 25, 862988400, 1997/05/07, Premier League, 2018/2019, Midfielder, Leicester City, 1092, 575, 517, Belgium, 13, 7, 6, 3, 2, 1, 4, 2, 2, 0, 0, 3, 3, 0, 13, 5, 8, 2, 0, 0.58, 0.33, 0.25, 0.31, 0.17, 364, 1.07, 84, 84, 546, 273, 0.16, 80, 13, -1, 4
Pascal Groß, 31, 676969200, 1991/06/15, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 1878, 993, 885, Germany, 25, 13, 12, 3, 2, 1, 3, 1, 2, 1, 1, 3, 2, 1, 31, 16, 15, 1, 0, 0.29, 0.14, 0.14, 0.18, 0.1, 626, 1.49, 61, 75, 1878, 626, 0.05, 126, 104, -1, 4
Cenk Tosun, 31, 676278000, 1991/06/07, Premier League, 2018/2019, Forward, Everton, 1050, 536, 514, Turkey, 25, 13, 12, 3, 2, 1, 3, 1, 2, 0, 0, 7, 4, 3, 16, 9, 7, 3, 0, 0.51, 0.26, 0.26, 0.34, 0.18, 350, 1.37, 66, 42, 350, 350, 0.26, 74, 37, -1, 6
Josh Murphy, 27, 793612800, 1995/02/24, Premier League, 2018/2019, Forward, Cardiff City, 1825, 1123, 702, England, 29, 17, 12, 3, 2, 1, 2, 1, 1, 0, 0, 7, 4, 3, 27, 20, 7, 2, 0, 0.25, 0.1, 0.15, 0.16, 0.13, 608, 1.33, 68, 63, 913, 913, 0.1, 119, 147, -1, 6
Patrick van Aanholt, 32, 651913200, 1990/08/29, Premier League, 2018/2019, Defender, Crystal Palace, 3198, 1703, 1495, Netherlands, 36, 19, 17, 3, 2, 1, 2, 0, 2, 0, 0, 12, 7, 5, 41, 19, 22, 3, 0, 0.14, 0.06, 0.08, 0.11, 0.06, 1066, 1.15, 78, 89, 1066, 1599, 0.08, 184, 199, 53, 6
James Tarkowski, 29, 722160000, 1992/11/19, Premier League, 2018/2019, Defender, Burnley, 3087, 1620, 1467, England, 35, 18, 17, 3, 2, 1, 1, 1, 0, 0, 0, 7, 5, 2, 52, 25, 27, 8, 0, 0.12, 0.03, 0.09, 0.11, 0.06, 1029, 1.52, 59, 88, 386, 3087, 0.23, 170, 238, 121, 4
David Junior Hoilett, 32, 644569200, 1990/06/05, Premier League, 2018/2019, Forward, Cardiff City, 2142, 1008, 1134, Canada, 32, 17, 15, 3, 2, 1, 1, 0, 1, 0, 0, 9, 5, 4, 42, 20, 22, 4, 0, 0.17, 0.04, 0.13, 0.18, 0.08, 714, 1.76, 51, 67, 536, 2142, 0.17, 137, 220, -1, 7
Divock Origi, 27, 798188400, 1995/04/18, Premier League, 2018/2019, Forward, Liverpool, 366, 176, 190, Belgium, 12, 5, 7, 3, 2, 1, 1, 0, 1, 0, 0, 7, 4, 3, 2, 0, 2, 0, 0, 0.98, 0.25, 0.74, 1.02, 0.47, 122, 0.49, 183, 31, 0, 366, 0, 2, 42, -1, 7
Ivan Ricardo Neves Abreu Cavaleiro, 29, 750927600, 1993/10/18, Premier League, 2018/2019, Forward, Wolverhampton Wanderers, 683, 331, 352, Portugal, 23, 13, 10, 3, 2, 1, 1, 0, 1, 0, 0, 5, 4, 1, 10, 7, 3, 1, 0, 0.53, 0.13, 0.4, 0.54, 0.26, 228, 1.32, 68, 30, 683, 683, 0.13, 34, 119, -1, 6
Eric Dier, 28, 758620800, 1994/01/15, Premier League, 2018/2019, Midfielder, Tottenham Hotspur, 1510, 674, 836, England, 20, 9, 11, 3, 2, 1, 0, 0, 0, 0, 0, 6, 2, 4, 16, 8, 8, 4, 0, 0.18, 0, 0.18, 0.27, 0.11, 503, 0.95, 94, 76, 378, 0, 0.24, 107, 278, -1, 7
Laurent Koscielny, 37, 495183600, 1985/09/10, Premier League, 2018/2019, Defender, Arsenal, 1328, 484, 844, France, 17, 6, 11, 3, 2, 1, 0, 0, 0, 0, 0, 4, 3, 1, 21, 5, 16, 1, 0, 0.2, 0, 0.2, 0.37, 0.11, 443, 1.42, 63, 78, 1328, 0, 0.07, 93, 295, 103, 7
Sam Vokes, 33, 624956400, 1989/10/21, Premier League, 2018/2019, Forward, Burnley, 913, 455, 458, Wales, 20, 10, 10, 3, 2, 1, 0, 0, 0, 0, 0, 4, 2, 2, 18, 9, 9, 0, 0, 0.3, 0, 0.3, 0.4, 0.2, 304, 1.77, 51, 46, 0, 0, 0, 64, 351, -1, 3
Florin Andone, 29, 734511600, 1993/04/11, Premier League, 2018/2019, Forward, Brighton & Hove Albion, 874, 416, 458, Romania, 23, 12, 11, 3, 2, 1, 0, 0, 0, 0, 0, 3, 3, 0, 13, 5, 8, 5, 0, 0.31, 0, 0.31, 0.43, 0.2, 291, 1.34, 67, 38, 175, 0, 0.51, 60, 289, -1, 3
Alex Iwobi, 26, 831106800, 1996/05/03, Premier League, 2018/2019, Forward, Arsenal, 1972, 742, 1230, Nigeria, 35, 18, 17, 3, 1, 2, 6, 3, 3, 0, 0, 8, 7, 1, 31, 8, 23, 0, 0, 0.41, 0.27, 0.14, 0.12, 0.15, 657, 1.41, 64, 56, 0, 329, 0, 128, 31, -1, 8
James McArthur, 35, 560588400, 1987/10/07, Premier League, 2018/2019, Midfielder, Crystal Palace, 3071, 1506, 1565, Scotland, 38, 19, 19, 3, 1, 2, 6, 1, 5, 0, 0, 12, 7, 5, 44, 19, 25, 7, 0, 0.26, 0.18, 0.09, 0.06, 0.12, 1024, 1.29, 70, 81, 439, 512, 0.21, 179, 74, -1, 7
Ross Barkley, 28, 755078400, 1993/12/05, Premier League, 2018/2019, Midfielder, Chelsea, 1241, 432, 809, England, 27, 11, 16, 3, 1, 2, 5, 2, 3, 0, 0, 11, 5, 6, 13, 5, 8, 1, 0, 0.58, 0.36, 0.22, 0.21, 0.22, 414, 0.94, 95, 46, 1241, 248, 0.07, 84, 12, -1, 7
Stuart Armstrong, 30, 701942400, 1992/03/30, Premier League, 2018/2019, Midfielder, Southampton, 1432, 469, 963, Scotland, 29, 11, 18, 3, 1, 2, 2, 1, 1, 0, 0, 4, 1, 3, 23, 8, 15, 2, 0, 0.31, 0.13, 0.19, 0.19, 0.19, 477, 1.45, 62, 49, 716, 716, 0.13, 98, 114, -1, 6
Aaron Mooy, 32, 653382000, 1990/09/15, Premier League, 2018/2019, Midfielder, Huddersfield Town, 2327, 1190, 1137, Australia, 29, 15, 14, 3, 1, 2, 1, 0, 1, 1, 0, 4, 3, 1, 46, 20, 26, 4, 0, 0.15, 0.04, 0.12, 0.08, 0.16, 776, 1.78, 51, 80, 582, 2327, 0.15, 144, 233, -1, 3
Mathias Jattah-Njie Jørgensen, 32, 640854000, 1990/04/23, Premier League, 2018/2019, Defender, Huddersfield Town, 2148, 1248, 900, Denmark, 24, 14, 10, 3, 1, 2, 1, 0, 1, 0, 0, 3, 2, 1, 37, 21, 16, 6, 0, 0.17, 0.04, 0.13, 0.07, 0.2, 716, 1.55, 58, 90, 358, 2148, 0.25, 129, 235, 125, 2
Aboubakar Kamara, 27, 794563200, 1995/03/07, Premier League, 2018/2019, Forward, Fulham, 687, 468, 219, France, 13, 8, 5, 3, 1, 2, 0, 0, 0, 1, 1, 2, 1, 1, 16, 9, 7, 2, 0, 0.39, 0, 0.39, 0.19, 0.82, 229, 2.1, 43, 53, 344, 0, 0.26, 38, 412, -1, 4
Craig Cathcart, 33, 602755200, 1989/02/06, Premier League, 2018/2019, Defender, Watford, 3099, 1561, 1538, Northern Ireland, 36, 18, 18, 3, 1, 2, 0, 0, 0, 0, 0, 6, 3, 3, 52, 28, 24, 2, 0, 0.09, 0, 0.09, 0.06, 0.12, 1033, 1.51, 60, 86, 1550, 0, 0.06, 177, 400, 119, 6
Jeff Hendrick, 30, 696844800, 1992/01/31, Premier League, 2018/2019, Midfielder, Burnley, 2069, 898, 1171, Republic of Ireland, 32, 15, 17, 3, 1, 2, 0, 0, 0, 0, 0, 6, 3, 3, 41, 18, 23, 4, 0, 0.13, 0, 0.13, 0.1, 0.15, 690, 1.78, 50, 65, 517, 0, 0.17, 131, 349, -1, 6
Wes Morgan, 38, 443520000, 1984/01/21, Premier League, 2018/2019, Defender, Leicester City, 1926, 783, 1143, Jamaica, 22, 9, 13, 3, 1, 2, 0, 0, 0, 0, 0, 6, 3, 3, 24, 9, 15, 5, 2, 0.14, 0, 0.14, 0.11, 0.16, 642, 1.12, 80, 88, 385, 0, 0.23, 125, 300, 48, 6
Georginio Wijnaldum, 31, 658310400, 1990/11/11, Premier League, 2018/2019, Midfielder, Liverpool, 2735, 1413, 1322, Netherlands, 35, 18, 17, 3, 1, 2, 0, 0, 0, 0, 0, 21, 12, 9, 15, 6, 9, 3, 0, 0.1, 0, 0.1, 0.06, 0.14, 912, 0.49, 182, 78, 912, 0, 0.1, 164, 416, -1, 8
Ciaran Clark, 33, 622796400, 1989/09/26, Premier League, 2018/2019, Defender, Newcastle United, 857, 416, 441, Republic of Ireland, 11, 6, 5, 3, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 14, 9, 5, 1, 0, 0.32, 0, 0.32, 0.22, 0.41, 286, 1.47, 61, 78, 857, 0, 0.11, 56, 315, 113, 4
Johann Berg Guðmunds­son, 32, 657010800, 1990/10/27, Premier League, 2018/2019, Midfielder, Burnley, 1748, 847, 901, Iceland, 29, 15, 14, 3, 0, 3, 6, 5, 1, 0, 0, 6, 4, 2, 31, 13, 18, 2, 0, 0.46, 0.31, 0.15, 0, 0.3, 583, 1.6, 56, 60, 874, 291, 0.1, 122, 18, -1, 5
Aymeric Laporte, 28, 770022000, 1994/05/27, Premier League, 2018/2019, Defender, Manchester City, 3057, 1526, 1531, France, 35, 17, 18, 3, 0, 3, 3, 3, 0, 0, 0, 18, 8, 10, 21, 11, 10, 3, 0, 0.18, 0.09, 0.09, 0, 0.18, 1019, 0.62, 146, 87, 1019, 1019, 0.09, 176, 158, 14, 9
Harry Maguire, 29, 731318400, 1993/03/05, Premier League, 2018/2019, Defender, Leicester City, 2599, 1350, 1249, England, 31, 15, 16, 3, 0, 3, 0, 0, 0, 0, 0, 7, 3, 4, 36, 16, 20, 7, 1, 0.1, 0, 0.1, 0, 0.22, 866, 1.25, 72, 84, 325, 0, 0.28, 165, 299, 78, 5
Ricardo Domingos Barbosa Pereira, 29, 749890800, 1993/10/06, Premier League, 2018/2019, Defender, Leicester City, 3125, 1526, 1599, Portugal, 35, 17, 18, 2, 2, 0, 6, 3, 3, 0, 0, 10, 6, 4, 40, 16, 24, 7, 0, 0.23, 0.17, 0.06, 0.12, 0, 1563, 1.15, 78, 89, 446, 521, 0.2, 214, 84, 52, 7
Ricardo Domingos Barbosa Pereira, 29, 749890800, 1993/10/06, Premier League, 2018/2019, Defender, Leicester City, 3125, 1526, 1599, Portugal, 35, 17, 18, 2, 2, 0, 6, 3, 3, 0, 0, 10, 6, 4, 40, 16, 24, 7, 0, 0.23, 0.17, 0.06, 0.12, 0, 1563, 1.15, 78, 89, 446, 521, 0.2, 214, 84, 52, 7
Steve Mounié, 28, 780822000, 1994/09/29, Premier League, 2018/2019, Forward, Huddersfield Town, 1777, 1009, 768, Benin, 31, 16, 15, 2, 2, 0, 3, 1, 2, 0, 0, 5, 3, 2, 34, 15, 19, 2, 1, 0.25, 0.15, 0.1, 0.18, 0, 889, 1.72, 52, 57, 592, 592, 0.15, 168, 90, -1, 6
Lucas Torreira, 26, 824025600, 1996/02/11, Premier League, 2018/2019, Midfielder, Arsenal, 2377, 1231, 1146, Uruguay, 34, 17, 17, 2, 2, 0, 2, 0, 2, 0, 0, 6, 5, 1, 35, 10, 25, 8, 1, 0.15, 0.08, 0.08, 0.15, 0, 1189, 1.33, 68, 70, 264, 1189, 0.34, 190, 174, -1, 10
Séamus Coleman, 34, 592556400, 1988/10/11, Premier League, 2018/2019, Defender, Everton, 2560, 1333, 1227, Republic of Ireland, 29, 15, 14, 2, 2, 0, 2, 0, 2, 0, 0, 13, 8, 5, 29, 15, 14, 1, 0, 0.14, 0.07, 0.07, 0.14, 0, 1280, 1.02, 88, 88, 2560, 1280, 0.04, 197, 178, 34, 8
Kevin De Bruyne, 31, 678092400, 1991/06/28, Premier League, 2018/2019, Midfielder, Manchester City, 974, 477, 497, Belgium, 19, 9, 10, 2, 2, 0, 2, 0, 2, 0, 0, 12, 6, 6, 3, 1, 2, 2, 0, 0.37, 0.18, 0.18, 0.38, 0, 487, 0.28, 325, 51, 487, 487, 0.18, 109, 75, -1, 10
Declan Rice, 23, 916300800, 1999/01/14, Premier League, 2018/2019, Midfielder, West Ham United, 3005, 1440, 1565, Republic of Ireland, 34, 16, 18, 2, 2, 0, 0, 0, 0, 0, 0, 6, 3, 3, 42, 21, 21, 4, 0, 0.06, 0, 0.06, 0.13, 0, 1503, 1.26, 72, 88, 751, 0, 0.12, 210, 362, -1, 9
Calum Chambers, 27, 790588800, 1995/01/20, Premier League, 2018/2019, Defender, Fulham, 2587, 1458, 1129, England, 31, 17, 14, 2, 2, 0, 0, 0, 0, 0, 0, 5, 3, 2, 49, 24, 25, 9, 0, 0.07, 0, 0.07, 0.12, 0, 1294, 1.7, 53, 83, 287, 0, 0.31, 198, 399, 143, 5
Jürgen Locadia, 28, 752659200, 1993/11/07, Premier League, 2018/2019, Forward, Brighton & Hove Albion, 1227, 590, 637, Netherlands, 26, 14, 12, 2, 2, 0, 0, 0, 0, 0, 0, 4, 3, 1, 19, 9, 10, 1, 0, 0.15, 0, 0.15, 0.31, 0, 614, 1.39, 65, 47, 1227, 0, 0.07, 120, 281, -1, 7
José Luis Sanmartín Mato, 32, 638524800, 1990/03/27, Premier League, 2018/2019, Forward, Newcastle United, 586, 308, 278, Spain, 16, 9, 7, 2, 2, 0, 0, 0, 0, 0, 0, 4, 2, 2, 12, 8, 4, 1, 0, 0.31, 0, 0.31, 0.58, 0, 293, 1.84, 49, 37, 586, 0, 0.15, 61, 265, -1, 5
Onyinye Wilfred Ndidi, 25, 850723200, 1996/12/16, Premier League, 2018/2019, Midfielder, Leicester City, 3299, 1624, 1675, Nigeria, 38, 19, 19, 2, 2, 0, 0, 0, 0, 0, 0, 10, 6, 4, 42, 18, 24, 8, 0, 0.05, 0, 0.05, 0.11, 0, 1650, 1.15, 79, 87, 412, 0, 0.22, 218, 332, -1, 9
Matt Ritchie, 33, 621414000, 1989/09/10, Premier League, 2018/2019, Midfielder, Newcastle United, 2940, 1557, 1383, Scotland, 36, 19, 17, 2, 1, 1, 8, 2, 6, 1, 1, 11, 5, 6, 37, 21, 16, 9, 0, 0.31, 0.24, 0.06, 0.06, 0.07, 1470, 1.13, 79, 82, 327, 368, 0.28, 216, 46, -1, 6
Anthony Knockaert, 30, 690624000, 1991/11/20, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 1832, 982, 850, France, 30, 16, 14, 2, 1, 1, 6, 5, 1, 0, 0, 3, 3, 0, 36, 17, 19, 5, 1, 0.39, 0.29, 0.1, 0.09, 0.11, 916, 1.77, 51, 61, 305, 305, 0.29, 159, 27, -1, 6
Ryan Sessegnon, 22, 958633200, 2000/05/18, Premier League, 2018/2019, Defender, Fulham, 2298, 1095, 1203, England, 35, 18, 17, 2, 1, 1, 6, 3, 3, 0, 0, 4, 3, 1, 58, 22, 36, 0, 0, 0.31, 0.23, 0.08, 0.08, 0.07, 1149, 2.27, 40, 66, 0, 383, 0, 182, 53, 168, 6
Robert Snodgrass, 35, 557996400, 1987/09/07, Premier League, 2018/2019, Midfielder, West Ham United, 2222, 1108, 1114, Scotland, 33, 16, 17, 2, 1, 1, 5, 4, 1, 0, 0, 6, 3, 3, 31, 16, 15, 10, 0, 0.28, 0.2, 0.08, 0.08, 0.08, 1111, 1.26, 72, 67, 222, 444, 0.41, 188, 64, -1, 8
Marcos Alonso, 31, 662371200, 1990/12/28, Premier League, 2018/2019, Defender, Chelsea, 2761, 1338, 1423, Spain, 31, 15, 16, 2, 1, 1, 4, 3, 1, 0, 0, 14, 8, 6, 28, 9, 19, 6, 0, 0.2, 0.13, 0.07, 0.07, 0.06, 1381, 0.91, 99, 89, 460, 690, 0.2, 191, 112, 22, 10
Olivier Giroud, 36, 528447600, 1986/09/30, Premier League, 2018/2019, Forward, Chelsea, 832, 446, 386, France, 27, 14, 13, 2, 1, 1, 4, 3, 1, 0, 0, 12, 7, 5, 4, 1, 3, 1, 0, 0.65, 0.43, 0.22, 0.2, 0.23, 416, 0.43, 208, 31, 832, 208, 0.11, 86, 7, -1, 12
Will Hughes, 27, 798102000, 1995/04/17, Premier League, 2018/2019, Midfielder, Watford, 2436, 1251, 1185, England, 32, 16, 16, 2, 1, 1, 4, 2, 2, 0, 0, 5, 3, 2, 39, 19, 20, 5, 0, 0.22, 0.15, 0.07, 0.07, 0.08, 1218, 1.44, 62, 76, 487, 609, 0.18, 199, 91, -1, 8
Junior Stanislas, 32, 628070400, 1989/11/26, Premier League, 2018/2019, Midfielder, AFC Bournemouth, 1027, 559, 468, England, 23, 12, 11, 2, 1, 1, 3, 3, 0, 1, 0, 7, 4, 3, 24, 8, 16, 1, 0, 0.44, 0.26, 0.18, 0.16, 0.19, 514, 2.1, 43, 45, 1027, 342, 0.09, 104, 35, -1, 7
Ashley Young, 37, 489740400, 1985/07/09, Premier League, 2018/2019, Midfielder, Manchester United, 2568, 1207, 1361, England, 30, 14, 16, 2, 1, 1, 2, 2, 0, 0, 0, 4, 2, 2, 41, 16, 25, 10, 1, 0.14, 0.07, 0.07, 0.07, 0.07, 1284, 1.44, 63, 86, 257, 1284, 0.35, 195, 181, -1, 9
Charlie Austin, 33, 615625200, 1989/07/05, Premier League, 2018/2019, Forward, Southampton, 980, 454, 526, England, 25, 13, 12, 2, 1, 1, 2, 1, 1, 0, 1, 6, 3, 3, 14, 6, 8, 1, 0, 0.37, 0.18, 0.18, 0.2, 0.17, 490, 1.29, 70, 39, 980, 490, 0.09, 105, 73, -1, 8
Marc Albrighton, 32, 627379200, 1989/11/18, Premier League, 2018/2019, Midfielder, Leicester City, 1626, 797, 829, England, 27, 14, 13, 2, 1, 1, 2, 1, 1, 0, 0, 9, 5, 4, 17, 8, 9, 3, 0, 0.22, 0.11, 0.11, 0.11, 0.11, 813, 0.94, 96, 60, 542, 813, 0.17, 156, 140, -1, 8
Kurt Zouma, 28, 783241200, 1994/10/27, Premier League, 2018/2019, Defender, Everton, 2610, 1350, 1260, France, 32, 16, 16, 2, 1, 1, 2, 0, 2, 0, 0, 11, 8, 3, 37, 17, 20, 5, 1, 0.14, 0.07, 0.07, 0.07, 0.07, 1305, 1.28, 71, 82, 522, 1305, 0.17, 192, 185, 83, 7
Yann Valery, 23, 919670400, 1999/02/22, Premier League, 2018/2019, Defender, Southampton, 1715, 1070, 645, France, 23, 13, 10, 2, 1, 1, 1, 1, 0, 0, 0, 3, 1, 2, 26, 17, 9, 5, 1, 0.16, 0.05, 0.1, 0.08, 0.14, 858, 1.36, 66, 75, 343, 1715, 0.26, 162, 214, 95, 7
Naby Deco Keïta, 27, 792403200, 1995/02/10, Premier League, 2018/2019, Midfielder, Liverpool, 1392, 729, 663, Guinea, 25, 14, 11, 2, 1, 1, 1, 1, 0, 0, 0, 15, 10, 5, 7, 4, 3, 0, 0, 0.19, 0.06, 0.13, 0.12, 0.14, 696, 0.45, 199, 56, 0, 1392, 0, 138, 190, -1, 9
Daniel Sturridge, 33, 620636400, 1989/09/01, Premier League, 2018/2019, Forward, Liverpool, 496, 152, 344, England, 18, 9, 9, 2, 1, 1, 1, 1, 0, 0, 0, 10, 7, 3, 3, 0, 3, 1, 0, 0.54, 0.18, 0.36, 0.59, 0.26, 248, 0.54, 165, 28, 496, 496, 0.18, 48, 79, -1, 10
Philip Billing, 26, 834476400, 1996/06/11, Premier League, 2018/2019, Midfielder, Huddersfield Town, 2192, 1106, 1086, Denmark, 27, 13, 14, 2, 1, 1, 0, 0, 0, 0, 0, 5, 3, 2, 41, 17, 24, 7, 0, 0.08, 0, 0.08, 0.08, 0.08, 1096, 1.68, 53, 81, 313, 0, 0.29, 185, 372, -1, 4
Leander Dendoncker, 27, 797929200, 1995/04/15, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 1469, 635, 834, Belgium, 19, 9, 10, 2, 1, 1, 0, 0, 0, 0, 0, 4, 4, 0, 19, 6, 13, 1, 0, 0.12, 0, 0.12, 0.14, 0.11, 735, 1.16, 77, 77, 1469, 0, 0.06, 146, 331, -1, 8
Romain Saïss, 32, 638438400, 1990/03/26, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 1144, 544, 600, Morocco, 19, 8, 11, 2, 1, 1, 0, 0, 0, 0, 0, 4, 3, 1, 16, 6, 10, 7, 0, 0.16, 0, 0.16, 0.17, 0.15, 572, 1.26, 72, 60, 163, 0, 0.55, 115, 264, -1, 7
Alex Pritchard, 29, 736412400, 1993/05/03, Premier League, 2018/2019, Midfielder, Huddersfield Town, 2092, 992, 1100, England, 30, 14, 16, 2, 1, 1, 0, 0, 0, 0, 0, 4, 2, 2, 39, 16, 23, 2, 0, 0.09, 0, 0.09, 0.09, 0.08, 1046, 1.68, 54, 70, 1046, 0, 0.09, 171, 373, -1, 5
Ashley Westwood, 32, 638956800, 1990/04/01, Premier League, 2018/2019, Midfielder, Burnley, 2822, 1530, 1292, England, 34, 18, 16, 2, 0, 2, 7, 2, 5, 0, 0, 7, 5, 2, 44, 22, 22, 5, 0, 0.29, 0.22, 0.06, 0, 0.14, 1411, 1.4, 64, 83, 564, 403, 0.16, 212, 55, -1, 8
Ander Herrera, 33, 619081200, 1989/08/14, Premier League, 2018/2019, Midfielder, Manchester United, 1404, 617, 787, Spain, 22, 10, 12, 2, 0, 2, 3, 3, 0, 0, 0, 6, 1, 5, 17, 9, 8, 4, 0, 0.32, 0.19, 0.13, 0, 0.23, 702, 1.09, 83, 64, 351, 468, 0.26, 134, 68, -1, 7
Lewis Dunk, 30, 690710400, 1991/11/21, Premier League, 2018/2019, Defender, Brighton & Hove Albion, 3153, 1550, 1603, England, 36, 18, 18, 2, 0, 2, 1, 0, 1, 0, 0, 7, 5, 2, 53, 24, 29, 7, 1, 0.09, 0.03, 0.06, 0, 0.11, 1577, 1.51, 59, 88, 450, 3153, 0.2, 203, 252, 120, 5
Dan Gosling, 32, 633859200, 1990/02/01, Premier League, 2018/2019, Midfielder, AFC Bournemouth, 1737, 911, 826, England, 25, 13, 12, 2, 0, 2, 1, 0, 1, 0, 0, 7, 4, 3, 31, 14, 17, 8, 0, 0.16, 0.05, 0.1, 0, 0.22, 869, 1.61, 56, 69, 217, 1737, 0.41, 158, 206, -1, 8
Jorginho, 30, 693216000, 1991/12/20, Premier League, 2018/2019, Midfielder, Chelsea, 3165, 1621, 1544, Italy, 37, 19, 18, 2, 0, 2, 0, 0, 0, 1, 0, 16, 10, 6, 36, 12, 24, 8, 0, 0.06, 0, 0.06, 0, 0.12, 1583, 1.02, 88, 86, 396, 0, 0.23, 213, 375, -1, 11
Jefferson Lerma, 28, 783068400, 1994/10/25, Premier League, 2018/2019, Midfielder, AFC Bournemouth, 2511, 1319, 1192, Colombia, 30, 15, 15, 2, 0, 2, 0, 0, 0, 0, 0, 8, 4, 4, 45, 18, 27, 12, 0, 0.07, 0, 0.07, 0, 0.15, 1256, 1.61, 56, 84, 209, 0, 0.43, 202, 288, -1, 6
Shkodran Mustafi, 30, 703494000, 1992/04/17, Premier League, 2018/2019, Defender, Arsenal, 2617, 1263, 1354, Germany, 31, 15, 16, 2, 0, 2, 0, 0, 0, 0, 0, 6, 5, 1, 36, 12, 24, 9, 0, 0.07, 0, 0.07, 0, 0.13, 1309, 1.24, 73, 84, 291, 0, 0.31, 201, 378, 74, 9
Scott McTominay, 25, 850032000, 1996/12/08, Premier League, 2018/2019, Midfielder, Manchester United, 861, 345, 516, England, 16, 7, 9, 2, 0, 2, 0, 0, 0, 0, 0, 3, 1, 2, 17, 6, 11, 1, 0, 0.21, 0, 0.21, 0, 0.35, 431, 1.78, 51, 54, 861, 0, 0.1, 91, 303, -1, 8
Andriy Yarmolenko, 33, 625129200, 1989/10/23, Premier League, 2018/2019, Forward, West Ham United, 459, 269, 190, Ukraine, 9, 5, 4, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 4, 1, 3, 2, 0, 0.39, 0, 0.39, 0, 0.95, 230, 0.78, 115, 51, 230, 0, 0.39, 36, 361, -1, 7
Solomon March, 28, 774687600, 1994/07/20, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 2473, 1153, 1320, England, 35, 16, 19, 1, 1, 0, 5, 1, 4, 0, 0, 6, 4, 2, 39, 13, 26, 1, 0, 0.22, 0.18, 0.04, 0.08, 0, 2473, 1.42, 63, 71, 2473, 495, 0.04, 242, 82, -1, 11
Solomon March, 28, 774687600, 1994/07/20, Premier League, 2018/2019, Midfielder, Brighton & Hove Albion, 2473, 1153, 1320, England, 35, 16, 19, 1, 1, 0, 5, 1, 4, 0, 0, 6, 4, 2, 39, 13, 26, 1, 0, 0.22, 0.18, 0.04, 0.08, 0, 2473, 1.42, 63, 71, 2473, 495, 0.04, 242, 82, -1, 11
Fernando Llorente Torres, 37, 478252800, 1985/02/26, Premier League, 2018/2019, Forward, Tottenham Hotspur, 683, 508, 175, Spain, 20, 11, 9, 1, 1, 0, 4, 4, 0, 0, 0, 7, 5, 2, 8, 5, 3, 2, 0, 0.66, 0.53, 0.13, 0.18, 0, 683, 1.05, 85, 34, 342, 171, 0.26, 133, 2, -1, 8
Luciano Vietto, 28, 755078400, 1993/12/05, Premier League, 2018/2019, Forward, Fulham, 983, 549, 434, Argentina, 20, 9, 11, 1, 1, 0, 4, 4, 0, 0, 0, 1, 1, 0, 21, 11, 10, 1, 0, 0.46, 0.37, 0.09, 0.16, 0, 983, 1.92, 47, 49, 983, 246, 0.09, 180, 11, -1, 8
Luke Shaw, 27, 805532400, 1995/07/12, Premier League, 2018/2019, Defender, Manchester United, 2592, 1170, 1422, England, 29, 13, 16, 1, 1, 0, 4, 2, 2, 0, 0, 6, 1, 5, 36, 16, 20, 11, 0, 0.17, 0.14, 0.03, 0.08, 0, 2592, 1.25, 72, 89, 236, 648, 0.38, 262, 105, 77, 13
Fernando Luiz Rosa, 37, 484038000, 1985/05/04, Premier League, 2018/2019, Midfielder, Manchester City, 2381, 1286, 1095, Brazil, 29, 15, 14, 1, 1, 0, 3, 3, 0, 0, 0, 16, 7, 9, 15, 8, 7, 5, 0, 0.15, 0.11, 0.04, 0.07, 0, 2381, 0.57, 159, 82, 476, 794, 0.19, 228, 132, -1, 15
Kelechi Iheanacho, 26, 844326000, 1996/10/03, Premier League, 2018/2019, Forward, Leicester City, 926, 408, 518, Nigeria, 30, 14, 16, 1, 1, 0, 3, 2, 1, 0, 0, 6, 4, 2, 11, 5, 6, 2, 0, 0.39, 0.29, 0.1, 0.22, 0, 926, 1.07, 84, 31, 463, 309, 0.19, 169, 24, -1, 13
